,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
New England Journal of Medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lancet,,,,,,,,,,,,,,,,,,,,,,,,,,,,6830,6830
eBioMedicine,,,,,,,,,,,,,,,,,,,,3000,3000,3000,3200,3500,3500,3500,3500,5000,5000
Lancet Global Health,,,,,,,,,,,,,,,,,,4750,4750,4750,4750,4750,4750,5000,5000,5000,5000,5780,5780
BMJ,,,,,,,,,,,,,,,,3200,3200,3840,3840,3840,3840,3840,3840,3840,4480,4480,6400,6400,6592
BMJ Open,,,,,,,,,,,,,,,,1536,1536,1536,1536,1536,1536,1728,1728,1728,1920,1920,2560,2637,2769
Nature,,,,,,,,,,,,,,,,,,,,,,,,,,10830,10830,11115,11731
Nature Communications,,,,,,,,,,,,,,,5000,5000,5000,5000,5200,5200,5200,5200,5200,5200,5380,5560,5890,6290,6790
Science,,,,,,,,,,,,,,,,,,,,,,,,,,650,650,650,650
Science Advances,,,,,,,,,,,,,,,,,,,,3000,3450,3450,4000,4500,4500,4500,4500,4500,4950
JAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
JAMA Network Open,,,,,,,,,,,,,,,,,,,,,,,3000,3000,3000,3000,3000,3000,3000
Cell,,,,,,,,,,,,,,,,,,,,,5000,5000,5000,5900,5900,9900,9900,10100,10400
Cell Reports,,,,,,,,,,,,,,,,,5000,5000,5000,5000,5000,5000,5000,5200,5200,5200,5200,5460,5460
Heliyon,,,,,,,,,,,,,,,,,,,,,,,,1500,1750,1750,1950,2100,2100
Molecules,,,,,,500,500,500,500,500,828,851,851,851,851,1489,1489,1915,1915,1915,1915,1915,1915,1818,2128,2128,2447,2447,2872
BMC Bioinformatics,,,,,,,500,500,525,835,1315,1480,1685,1395,1835,1890,1905,2055,2110,2145,2145,2145,2145,2145,2170,2490,2590,2790,2890
Genome Biology,,,,,,,,1000,1000,1000,1585,1775,2645,2645,2210,2585,2550,2700,2760,2770,2975,3050,3050,3490,3745,4990,5030,5290,5290
PLoS One,,,,,,,,,,,750,1250,1300,1300,1350,1350,1350,1350,1350,1350,1495,1495,1495,1495,1695,1695,1749,1805,1931
PLoS Biology,,,,,,,,1500,1500,1500,1500,2500,2750,2850,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,3000,3000,4000,5300,5500
PLoS Medicine,,,,,,,,,1500,1500,1500,2500,2750,2850,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,3000,3000,4000,5300,6300
Frontiers in Neuroscience,,,,,,,,,,,,,1368,1368,1368,1368,1824,1824,1824,1900,2490,2490,2950,2950,2950,2950,3225,3225,3295
Frontiers in Medicine,,,,,,,,,,,,,,,,,,,1824,1900,1900,1900,1900,1900,2490,2490,2950,3225,3295
Scientific Reports,,,,,,,,,,,,,,,,1350,1350,1350,1350,1495,1495,1675,1675,1790,1870,1990,2190,2390,2590
Frontiers in Psychiatry,,,,,,,,,,,,,,,1368,1368,1824,1824,1824,1900,1900,1900,2490,2490,2950,2950,2950,3225,3295
International Journal of Molecular Sciences,,,,,,250,250,500,500,500,828,851,851,851,851,1064,1489,1702,1702,1702,1702,1915,1915,1818,2128,2128,2447,2660,3085
MEDIATORS OF INFLAMMATION,,,,,,,,,,400,400,400,700,975,1050,1050,1500,1500,1500,2000,2000,2000,1850,1900,2050,2300,2550,2550,2630
Biomed Research International,,,,,,,,,495,495,495,495,600,850,1500,1500,1500,1500,1500,2000,2000,2000,1950,1990,2200,2400,2550,2550,2550
Frontiers in Immunology,,,,,,,,,,,,,,,,,1824,1824,1824,1824,2490,2490,2950,2950,2950,2950,3225,3225,3295
BMC Public Health,,,,,,,500,500,525,835,1330,1665,1860,1530,1835,1920,1905,2055,2165,2145,2145,2145,2145,2390,2490,2570,2690,2990,3190
