,all,United States,China,United Kingdom,Germany,Japan,Italy,France,Canada,Australia,Spain,India,Netherlands,Brazil,South Korea,Russia
1996,458818,129994,2525,24590,16487,28709,11778,13907,11987,7007,5835,3260,7828,1393,238,990
1997,456897,132527,3350,25902,17379,28990,11856,14293,11981,7473,6124,3330,7947,1683,354,1252
1998,474771,135003,4036,28440,19219,31734,12346,15143,12430,7780,6681,3705,8316,2089,530,2004
1999,493949,137898,4897,30198,20702,32491,12906,15636,13270,8370,7236,4072,8324,2633,704,2098
2000,532643,149330,8131,35497,23138,36110,14154,16957,14513,9454,8381,5180,9379,3401,1168,2964
2001,547640,153640,10561,36413,24872,35961,15777,17464,14640,9773,9115,5647,9118,3848,1386,3015
2002,565491,158294,13600,37073,27290,36773,16374,18412,15375,10044,10300,6300,9609,4618,1682,3126
2003,594604,166453,18161,39052,26342,37792,17874,18175,16768,11004,10501,7143,10077,5193,2426,3387
2004,639775,178752,22844,41728,28122,38765,19324,19427,17896,12177,11843,7849,11191,6658,3114,2502
2005,700437,191457,29671,45267,31355,40636,21279,21390,20210,13500,13816,9827,12805,7791,3834,2159
2006,750177,202787,35075,48262,33370,41013,23121,22465,22366,15410,14990,11347,13843,9600,4677,2095
2007,786751,208543,40547,50949,35682,42786,25291,23772,24034,16598,16068,13531,14598,10943,5760,2284
2008,837234,217563,49042,52440,36479,44055,26943,26437,25569,17846,17168,15776,15624,12349,7366,2572
2009,877687,221395,57833,54217,38677,44839,27970,27064,27177,19231,18502,17861,17120,13079,8037,2710
2010,942174,233835,66905,56939,41128,46045,29709,28249,28329,21062,20077,21477,18574,14740,9463,2770
2011,1020631,249323,77956,60905,43663,50151,31940,29480,30174,23566,21884,26321,20130,16634,11600,2880
2012,1090154,256591,91884,63464,46025,53157,34763,30914,32293,25715,23815,30943,21346,19168,13355,3292
2013,1150100,233008,108775,69289,48780,53148,38249,34352,34530,30614,25537,35324,23226,19823,15429,3999
2014,1205814,203767,125945,85616,60625,55377,46239,42420,42283,38799,31169,40213,29122,23861,18152,5454
2015,1258059,226709,146795,99400,68919,59355,51670,48391,48435,44991,34851,41957,33747,26841,20781,8237
2016,1285444,245714,161455,107539,74025,62283,55650,52768,53067,49338,37463,43710,36028,29853,21975,9881
2017,1304372,257224,181525,110866,76559,65550,57639,54256,55888,51812,39419,44136,37694,31979,24183,10919
2018,1351960,264341,210837,114890,78196,67993,60544,54570,58536,54585,41492,44595,38984,34359,25649,12106
2019,1417849,268288,246061,119645,81355,69707,64968,56293,61299,57630,44951,47904,39925,35158,26361,13717
2020,1640685,325503,294682,137942,91847,80175,83306,64338,69480,64788,54760,61359,44122,42597,28359,16916
2021,1786874,364638,333042,149701,102295,87402,88380,66850,76133,70604,61793,72684,48142,45500,30085,18962
2022,1778298,349886,397266,137609,95676,83001,82648,61376,72737,67861,58287,76312,45241,41309,30670,18193
2023,1690710,335923,381792,126315,89005,75057,77117,56893,67659,61097,55642,73609,42165,37672,36534,16032
2024,835780,164550,203526,61787,43560,37084,36908,28186,33789,30393,26723,35265,21280,18291,17536,5621
